(0.9, 0.35)
(0.8, 0.4)
(0.575, 0.6875)
(0.725, 0.48333333333333334)
(0.525, 0.325)
(0.9, 0.35)
(0.9, 0.35)
(0.9, 0.35)
(0.9, 0.35)
(0.9, 0.35)
(0.4, 0.2)
(0.024999999999999994, 0.31875)
(0.6, 0.2333333333333333)
(0.6, 0.2333333333333333)
(0.6, 0.2333333333333333)
(0.8, 0.4)
(0.5333333333333333, 0.26666666666666666)
(0.54375, 0.3625)
(0.8, 0.4)
(0.4, 0.2)
(0.0, 0.0)
(0.6421875, 0.5125)
(0.525, 0.3666666666666667)
(0.525, 0.3666666666666667)
(0.8, 0.4)
(0.8, 0.4)
(0.525, 0.42499999999999993)
(0.5666666666666668, 0.5333333333333333)
(0.9, 0.35)
(0.49583333333333335, 0.46249999999999997)
(1.0, 0.7)
(0.8, 0.4)
(0.9333333333333332, 0.3333333333333333)
(0.8, 0.4)
(0.8, 0.4)
(0.5333333333333333, 0.5083333333333333)
(0.9, 0.35)
(0.9, 0.35)
(0.9, 0.35)
(0.8, 0.4)
(0.9, 0.35)
(0.9, 0.35)
(0.8, 0.4)
(-0.35, 0.4)
(0.8, 0.4)
(0.725, 0.48333333333333334)
(0.53, 0.6514285714285715)
(0.6, 0.2333333333333333)
(0.6, 0.2333333333333333)
(0.6, 0.2333333333333333)
(0.7666666666666666, 0.5333333333333333)
(0.65, 0.45)
(0.725, 0.48333333333333334)
(0.3, 0.35)
(0.4, 0.2)
(0.8500000000000001, 0.375)
(0.7749999999999999, 0.525)
(0.9, 0.4)
(0.3, 0.35)
(0.3, 0.35)
(0.5625, 0.47500000000000003)
(0.5625, 0.47500000000000003)
(0.525, 0.325)
(0.0, 0.0)
(0.8, 0.4)
(0.6, 0.2333333333333333)
(0.6, 0.2333333333333333)
(0.6, 0.2333333333333333)
(0.6, 0.2333333333333333)
(0.6, 0.2333333333333333)
(0.6, 0.2333333333333333)
(0.6, 0.2333333333333333)
(0.9, 0.35)
(0.9, 0.35)
(0.9, 0.35)
(0.8, 0.4)
(0.375, 0.29166666666666674)
(0.6, 0.39999999999999997)
(0.6, 0.2333333333333333)
(0.5, 0.3666666666666667)
(0.875, 0.4)
(0.6952380952380953, 0.41190476190476194)
